ID,name,lastname,birthday,instrument
1a1005d9-ba7a-4d94-846b-87df18496628,Shawn,Crahan,1969-09-24,Percussion - backing vocals
29759671-4dd0-4142-a948-cad423e840ec,Mick,Thomson,1973-11-03,Guitar
025bf968-1303-4b7f-bf14-eba299c272cb,Corey,Taylor,1973-12-08,Lead vocals
a1bfd33c-3680-47a2-8d70-754704b927f1,Tetiana,Shmailyuk,1987-03-15,Lead vocals
72f9ce92-6f10-4dfb-8a2e-dca8227f67b7,Vladislav,Ulasevich,1985-07-05,Drums
10fb1060-cd62-4497-995d-f027a7fb49d0,Richard - Koko,Díaz,1975-05-22,Vocals - guitar
c98bc946-b5b9-43f6-8599-07ca608507c1,Luis,González,1973-06-13,Vocals - guitar
a0310213-64ef-416e-a39a-8a257bcad608,Mario,Perez,1972-07-05,Trumpet
f760cd21-3ff3-4558-acf0-09558f8d0a34,Jorge,González,1976-08-27,Drums - backing vocals
40331efe-a640-4c84-a994-050eb80c0858,Juan Pablo,Nuñez,1976-01-28,Guitar - backing vocals
7c8ed135-7699-42dc-bfca-950c95f980e8,Daniel - Troco,Troconis,1980-10-01,Lead vocals - guitar
ea0b7d17-4b3b-4260-aa5c-194f8ff68a1a,Carlos,Ochoa,1981-08-28,Lead guitar
e50d2f68-56b1-4f14-9077-c72a55b16462,Jesus - Paje,Hernández,1989-02-14,Bass - backing vocals
